MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,9,38.2,23563.03,0,0.0,1.88,479,2032.85,9
10002,Chinatown/Lower East Side,Manhattan,42,54.72,76755.41,2,2.61,3.78,1112,1448.76,42
10003,East Village/Gramercy/Greenwich Village,Manhattan,10,18.59,53801.62,0,0.0,1.28,782,1453.49,10
10004,Financial District,Manhattan,1,27.39,3650.61,0,0.0,2.08,48,1314.85,1
10005,Financial District,Manhattan,3,35.73,8396.11,0,0.0,1.78,169,2012.84,3
10006,Financial District,Manhattan,1,28.92,3457.77,0,0.0,1.43,70,2024.43,1
10007,TriBeCa,Manhattan,1,12.12,8249.73,0,0.0,0.74,136,1648.54,1
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,17,28.94,58747.99,0,0.0,1.95,870,1480.9,17
10010,Flatiron/Gramercy/Kips Bay,Manhattan,13,40.16,32371.86,0,0.0,2.22,586,1810.21,13
10011,Chelsea,Manhattan,15,30.3,49500.52,1,2.02,1.86,808,1632.31,15
10012,Greenwich Village/SoHo,Manhattan,5,20.85,23981.2,0,0.0,1.46,342,1426.12,5
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,7,24.11,29031.09,0,0.0,1.33,525,1808.41,7
10014,Hudson Square/Meatpacking District/West Village,Manhattan,8,25.77,31043.16,1,3.22,1.56,514,1655.76,8
10016,Kips Bay/Murray Hill/NoMad,Manhattan,23,43.79,52524.35,0,0.0,2.38,967,1841.05,23
10017,East Midtown/Murray Hill,Manhattan,1,6.2,16127.22,0,0.0,0.39,257,1593.58,1
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,7,73.44,9531.44,0,0.0,3.87,181,1898.98,7
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,5,12.31,40631.45,0,0.0,0.67,743,1828.63,5
10021,Lenox Hill/Upper East Side,Manhattan,9,20.37,44175.61,0,0.0,1.05,860,1946.78,9
10022,East Midtown,Manhattan,3,9.89,30334.8,0,0.0,0.6,501,1651.57,3
10023,Lincoln Square,Manhattan,10,16.59,60274.81,1,1.66,1.03,973,1614.27,10
10024,Upper West Side,Manhattan,12,20.93,57337.68,1,1.74,1.27,945,1648.13,12
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,17,18.41,92333.47,1,1.08,1.03,1549,1677.61,16
10026,Central Harlem (South),Manhattan,11,28.19,39018.03,0,0.0,2.18,505,1294.27,11
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,15,23.57,63631.04,0,0.0,1.77,846,1329.54,15
10028,Upper East Side/Yorkville,Manhattan,3,6.1,49155.08,1,2.03,0.42,708,1440.34,3
10029,East Harlem,Manhattan,21,26.64,78841.52,1,1.27,1.61,1306,1656.49,21
10030,Central Harlem (North),Manhattan,10,34.1,29321.91,0,0.0,3.01,332,1132.26,10
10031,Hamilton Heights/West Harlem,Manhattan,13,21.47,60556.93,2,3.3,1.86,698,1152.63,13
10032,Washington Heights (South),Manhattan,23,37.4,61492.57,0,0.0,3.19,721,1172.5,23
10033,Washington Heights (North)/Washington Heights (South),Manhattan,15,25.33,59210.43,1,1.69,1.93,776,1310.58,15
10034,Inwood/Washington Heights (North),Manhattan,8,18.57,43073.65,0,0.0,1.42,565,1311.71,8
10035,East Harlem,Manhattan,21,61.0,34426.65,2,5.81,4.09,514,1493.03,21
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,13,49.6,26211.25,0,0.0,2.97,437,1667.22,13
10037,Central Harlem (North)/East Harlem,Manhattan,5,24.21,20649.62,0,0.0,1.82,274,1326.9,5
10038,Chinatown/Financial District,Manhattan,2,9.07,22047.96,0,0.0,0.53,375,1700.84,2
10039,Central Harlem (North)/Washington Heights (South),Manhattan,11,41.58,26457.52,1,3.78,3.94,279,1054.52,11
10040,Washington Heights (North),Manhattan,15,33.48,44808.28,0,0.0,2.59,579,1292.17,15
10044,Roosevelt Island,Manhattan,3,25.64,11700.29,0,0.0,2.75,109,931.6,3
10065,Lenox Hill/Upper East Side,Manhattan,1,3.44,29061.49,0,0.0,0.21,480,1651.67,1
10069,Lincoln Square,Manhattan,1,15.78,6338.13,0,0.0,1.22,82,1293.76,1
10075,Lenox Hill/Upper East Side,Manhattan,-4,-16.92,23634.14,0,0.0,-0.94,425,1798.25,-4
