MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,TEST_RATE,POSITIVE_COUNT
10001,Chelsea/NoMad/West Chelsea,Manhattan,9,38.2,23563.03,0,0.0,-0.92,-979,-4154.81,9
10002,Chinatown/Lower East Side,Manhattan,15,19.54,76755.41,0,0.0,1.68,891,1160.83,15
10003,East Village/Gramercy/Greenwich Village,Manhattan,10,18.59,53801.62,1,1.86,0.49,2032,3776.84,10
10004,Financial District,Manhattan,1,27.39,3650.61,0,0.0,-2.17,-46,-1260.06,1
10005,Financial District,Manhattan,4,47.64,8396.11,0,0.0,16.67,24,285.85,4
10006,Financial District,Manhattan,0,0.0,3457.77,0,0.0,-0.0,-50,-1446.02,0
10007,TriBeCa,Manhattan,0,0.0,8249.73,0,0.0,-0.0,-98,-1187.92,0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,11,18.72,58747.99,0,0.0,1.37,730,1242.6,10
10010,Flatiron/Gramercy/Kips Bay,Manhattan,4,12.36,32371.86,0,0.0,0.44,912,2817.26,4
10011,Chelsea,Manhattan,12,24.24,49500.52,1,2.02,1.83,655,1323.22,12
10012,Greenwich Village/SoHo,Manhattan,7,29.19,23981.2,0,0.0,1.0,698,2910.61,7
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,4,13.78,29031.09,0,0.0,1.35,297,1023.04,4
10014,Hudson Square/Meatpacking District/West Village,Manhattan,1,3.22,31043.16,0,0.0,0.26,391,1259.54,1
10016,Kips Bay/Murray Hill/NoMad,Manhattan,14,26.65,52524.35,0,0.0,-9.09,-154,-293.2,14
10017,East Midtown/Murray Hill,Manhattan,1,6.2,16127.22,0,0.0,0.68,146,905.3,1
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,-53,-556.05,9531.44,0,0.0,2.74,-1933,-20280.25,-53
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,8,19.69,40631.45,0,0.0,2.27,352,866.32,8
10021,Lenox Hill/Upper East Side,Manhattan,7,15.85,44175.61,0,0.0,3.13,224,507.07,7
10022,East Midtown,Manhattan,8,26.37,30334.8,0,0.0,-10.26,-78,-257.13,8
10023,Lincoln Square,Manhattan,6,9.95,60274.81,0,0.0,3.11,193,320.2,6
10024,Upper West Side,Manhattan,9,15.7,57337.68,0,0.0,1.26,713,1243.51,9
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,16,17.33,92333.47,1,1.08,1.38,1089,1179.42,15
10026,Central Harlem (South),Manhattan,14,35.88,39018.03,0,0.0,3.3,424,1086.68,14
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,14,22.0,63631.04,0,0.0,2.88,486,763.78,14
10028,Upper East Side/Yorkville,Manhattan,11,22.38,49155.08,0,0.0,3.37,326,663.21,11
10029,East Harlem,Manhattan,21,26.64,78841.52,0,0.0,4.62,433,549.2,20
10030,Central Harlem (North),Manhattan,3,10.23,29321.91,1,3.41,1.12,267,910.58,3
10031,Hamilton Heights/West Harlem,Manhattan,11,18.16,60556.93,0,0.0,4.3,256,422.74,11
10032,Washington Heights (South),Manhattan,11,17.89,61492.57,0,0.0,-5.79,-190,-308.98,11
10033,Washington Heights (North)/Washington Heights (South),Manhattan,18,30.4,59210.43,0,0.0,5.25,362,611.38,19
10034,Inwood/Washington Heights (North),Manhattan,19,44.11,43073.65,0,0.0,9.09,209,485.22,19
10035,East Harlem,Manhattan,10,29.05,34426.65,0,0.0,4.0,250,726.18,10
